Unnamed: 0,Id,Uid,Name,Empty Slots,Free Bikes,Last Updated,Renting Bikes,Returning Bikes,Latitude,Longitude,Timestamp,Rating,Review Count
0.0,0,0,Coal Harbour Gifts,0,0,0.0,0,0,49.28443,-123.112168,0,0.0,0
0.0,0,0,Coal Harbour Seawall,0,0,0.0,0,0,49.291405,-123.123067,0,0.0,0
0.0,0,0,Commodore Ballroom,0,0,0.0,0,0,49.280556,-123.12045,0,0.0,0
0.0,0,0,Corduroy Pie Co,0,0,0.0,0,0,49.256904,-123.121177,0,0.0,0
0.0,0,0,Dragon Ball Tea House,0,0,0.0,0,0,49.24949,-123.127924,0,0.0,0
0.0,0,0,Dude Chilling Park,0,0,0.0,0,0,49.263472,-123.096107,0,0.0,0
0.0,0,0,Earnest Ice Cream,0,0,0.0,0,0,49.249334,-123.089877,0,4.5,-123
0.0,0,0,East Is East,0,0,0.0,0,0,49.264423,-123.176637,0,4.0,43
0.0,0,0,Elysian Coffee,0,0,0.0,0,0,49.264531,-123.105038,0,0.0,0
0.0,0,0,Elysian Coffee Broadway,0,0,0.0,0,0,49.263077,-123.117243,0,0.0,0
0.0,0,0,English Bay Beach,0,0,0.0,0,0,49.286311,-123.143487,0,0.0,0
0.0,0,0,Eye Kandee Lingerie,0,0,0.0,0,0,49.286089,-123.139811,0,0.0,0
0.0,0,0,Fable,0,0,0.0,0,0,49.267954,-123.149127,0,0.0,0
0.0,0,0,Fable Diner,0,0,0.0,0,0,49.263042,-123.101505,0,4.0,76
0.0,0,0,False Creek Seawall,0,0,0.0,0,0,49.272732,-123.133558,0,0.0,0
0.0,0,0,FlyOver Canada,0,0,0.0,0,0,49.289031,-123.110613,0,0.0,0
0.0,0,0,Fujiya Japanese Foods,0,0,0.0,0,0,49.276572,-123.077019,0,0.0,0
0.0,0,0,George Wainborn Park,0,0,0.0,0,0,49.272361,-123.12939,0,0.0,0
0.0,0,0,Gotham Steakhouse & Cocktail Bar,0,0,0.0,0,0,49.282814,-123.115925,0,0.0,0
0.0,0,0,Granville Island Public Market,0,0,0.0,0,0,49.27209,-123.135,0,0.0,0
0.0,0,0,Granville Island Publishing,0,0,0.0,0,0,49.271996,-123.136172,0,0.0,0
0.0,0,0,Green Leaf Sushi,0,0,0.0,0,0,49.264138,-123.18018,0,4.0,-116
0.0,0,0,Guu with Garlic,0,0,0.0,0,0,49.290278,-123.133923,0,4.5,35
0.0,0,0,Gyu-Kaku BBQ,0,0,0.0,0,0,49.263202,-123.125769,0,0.0,0
0.0,0,0,HI-Vancouver Jericho Beach,0,0,0.0,0,0,49.273017,-123.203242,0,0.0,0
0.0,0,0,Harbour Green Park,0,0,0.0,0,0,49.289362,-123.121757,0,0.0,0
